,Flow Duration,Tot Fwd Pkts,Tot Bwd Pkts,TotLen Fwd Pkts,TotLen Bwd Pkts,Fwd Pkt Len Max,Fwd Pkt Len Min,Fwd Pkt Len Mean,Fwd Pkt Len Std,Bwd Pkt Len Max,Bwd Pkt Len Min,Bwd Pkt Len Mean,Bwd Pkt Len Std,Flow Byts/s,Flow Pkts/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Tot,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Tot,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Bwd PSH Flags,Fwd Header Len,Bwd Header Len,Fwd Pkts/s,Bwd Pkts/s,Pkt Len Min,Pkt Len Max,Pkt Len Mean,Pkt Len Std,Pkt Len Var,FIN Flag Cnt,SYN Flag Cnt,RST Flag Cnt,ACK Flag Cnt,Down/Up Ratio,Pkt Size Avg,Fwd Seg Size Avg,Bwd Seg Size Avg,Init Bwd Win Byts,Fwd Act Data Pkts,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,Label
0,59086131,7,1,0,0,0,0,0,0,0,0,0,0,0,0.135395563,8440875.857,14782453.07,41116855,269702,50103422,8350570.333,16191250.72,41116855,269702,0,0,0,0,0,0,0,0,0.118471118,0.016924445,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,2987276,0,2987276,2987276,18699618.33,19471121.45,41116855,5999291,1
1,12452268,37,1,2408,68,68,50,65.08108108,6.726309779,68,68,68,0,198.8392797,3.05165292,336547.7838,417536.3747,1763265,0,12452260,345896.1111,419513.7784,1763265,0,0,0,0,0,0,0,296,8,2.971346264,0.080306656,50,68,65.23076923,6.579319828,43.28744939,0,0,0,0,0,66.94736842,65.08108108,68,-1,37,0,0,0,0,0,0,0,0,1
2,118741070,5,4,170,682,45,22,34,10.44030651,461,22,170.5,197.0930406,7.175276423,0.075795173,14842633.75,40932889.02,116128125,6,118404508,29601127,57708307.93,116148894,6,118741070,39580356.67,66593500.03,116464687,625,0,40,32,0.04210843,0.033686744,22,461,87.4,134.6313485,18125.6,0,0,0,0,0,97.11111111,34,170.5,-1,5,2276383,0,2276383,2276383,116128125,0,116128125,116128125,1
3,180643,25,11,180,25790,90,0,7.2,24.91987159,5840,0,2344.545455,2050.899138,143764.22,199.2880986,5161.228571,12505.58414,35794,4,145692,6070.5,13726.63049,37155,4,180643,18064.3,18606.8242,36284,9,0,508,236,138.3945129,60.89358569,0,5840,701.8918919,1530.393627,2342104.655,0,1,0,0,0,721.3888889,7.2,2344.545455,5840,2,0,0,0,0,0,0,0,0,1
4,440,4,1,0,0,0,0,0,0,0,0,0,0,0,11363.63636,110,172.5939358,366,5,432,144,194.2858718,366,5,0,0,0,0,0,0,80,20,9090.909091,2272.727273,0,0,0,0,0,0,0,0,1,0,0,0,0,64240,0,0,0,0,0,0,0,0,0,1
5,2251978,53,28,202,56093,101,0,3.811320755,19.430405,5840,0,2003.321429,1291.834471,24998.02396,35.9683798,28149.725,75473.80982,316742,3,2251754,43302.96154,95520.64887,317127,3,2251978,83406.59259,121977.5114,349398,13,0,1068,576,23.53486579,12.433514,0,5840,686.5243902,1211.077474,1466708.648,0,1,0,0,0,695,3.811320755,2003.321429,65434,2,0,0,0,0,0,0,0,0,1
6,272,4,1,0,0,0,0,0,0,0,0,0,0,0,18382.35294,68,107.6506696,228,2,265,88.33333333,122.0751135,228,2,0,0,0,0,0,0,80,20,14705.88235,3676.470588,0,0,0,0,0,0,0,0,1,0,0,0,0,64240,0,0,0,0,0,0,0,0,0,1
7,3244706,107,56,370,128783,185,0,3.457943925,25.17309149,4380,0,2299.696429,1077.103218,39804.22263,50.23567621,20029.04938,58850.80325,308869,4,3244587,30609.31132,70678.64073,309178,6,3244706,58994.65455,119546.6141,567822,16,0,2148,1140,32.97679358,17.25888262,0,4380,787.5182927,1258.902602,1584835.76,0,1,0,0,0,792.3496933,3.457943925,2299.696429,65350,2,0,0,0,0,0,0,0,0,1
8,4013247,5,1,959,201,201,178,191.8,12.59761882,201,201,201,0,289.0427626,1.495048772,802649.4,1794596.944,4012922,11,4013235,1003308.75,2006408.838,4012922,11,0,0,0,0,0,0,40,8,1.245873977,0.249174795,178,201,194.4285714,11.22285084,125.952381,0,0,0,0,0,226.8333333,191.8,201,-1,5,0,0,0,0,0,0,0,0,1
9,111317734,9,1,0,0,0,0,0,0,0,0,0,0,0,0.089832946,12368637.11,35670199.65,107472566,6,111317728,13914716,37809294.46,107472566,6,0,0,0,0,0,0,0,0,0.080849652,0.008983295,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,3845168,0,3845168,3845168,107472566,0,107472566,107472566,1
