,Flow Duration,Tot Fwd Pkts,Tot Bwd Pkts,TotLen Fwd Pkts,TotLen Bwd Pkts,Fwd Pkt Len Max,Fwd Pkt Len Min,Fwd Pkt Len Mean,Fwd Pkt Len Std,Bwd Pkt Len Max,Bwd Pkt Len Min,Bwd Pkt Len Mean,Bwd Pkt Len Std,Flow Byts/s,Flow Pkts/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Tot,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Tot,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Bwd PSH Flags,Fwd Header Len,Bwd Header Len,Fwd Pkts/s,Bwd Pkts/s,Pkt Len Min,Pkt Len Max,Pkt Len Mean,Pkt Len Std,Pkt Len Var,FIN Flag Cnt,SYN Flag Cnt,RST Flag Cnt,ACK Flag Cnt,Down/Up Ratio,Pkt Size Avg,Fwd Seg Size Avg,Bwd Seg Size Avg,Init Bwd Win Byts,Fwd Act Data Pkts,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,Label
0,891,0,2,0,348,0,0,0,0,284,64,174,155.5634919,390572.3906,2244.668911,891,0,891,891,0,0,0,0,0,891,891,0,891,891,0,0,16,0,2244.668911,64,284,137.3333333,127.0170592,16133.33333,0,0,0,0,0,206,0,174,-1,0,0,0,0,0,0,0,0,0,0
1,20835,0,2,0,266,0,0,0,0,232,34,133,140.0071427,12766.97864,95.99232061,20835,0,20835,20835,0,0,0,0,0,20835,20835,0,20835,20835,0,0,16,0,95.99232061,34,232,100,114.3153533,13068,0,0,0,0,0,150,0,133,-1,0,0,0,0,0,0,0,0,0,0
2,545,0,2,0,442,0,0,0,0,409,33,221,265.8721497,811009.1743,3669.724771,545,0,545,545,0,0,0,0,0,545,545,0,545,545,0,0,16,0,3669.724771,33,409,158.3333333,217.0837012,47125.33333,0,0,0,0,0,237.5,0,221,-1,0,0,0,0,0,0,0,0,0,0
3,83892,0,2,0,194,0,0,0,0,160,34,97,89.09545443,2312.49702,23.84017546,83892,0,83892,83892,0,0,0,0,0,83892,83892,0,83892,83892,0,0,16,0,23.84017546,34,160,76,72.74613392,5292,0,0,0,0,0,114,0,97,-1,0,0,0,0,0,0,0,0,0,0
4,608,0,2,0,480,0,0,0,0,442,38,240,285.6711396,789473.6842,3289.473684,608,0,608,608,0,0,0,0,0,608,608,0,608,608,0,0,16,0,3289.473684,38,442,172.6666667,233.2495088,54405.33333,0,0,0,0,0,259,0,240,-1,0,0,0,0,0,0,0,0,0,0
5,43643,0,2,0,194,0,0,0,0,160,34,97,89.09545443,4445.157299,45.82636391,43643,0,43643,43643,0,0,0,0,0,43643,43643,0,43643,43643,0,0,16,0,45.82636391,34,160,76,72.74613392,5292,0,0,0,0,0,114,0,97,-1,0,0,0,0,0,0,0,0,0,0
6,10309,0,2,0,348,0,0,0,0,284,64,174,155.5634919,33756.91144,194.0052381,10309,0,10309,10309,0,0,0,0,0,10309,10309,0,10309,10309,0,0,16,0,194.0052381,64,284,137.3333333,127.0170592,16133.33333,0,0,0,0,0,206,0,174,-1,0,0,0,0,0,0,0,0,0,0
7,250437,0,2,0,376,0,0,0,0,337,39,188,210.7178208,1501.375595,7.986040401,250437,0,250437,250437,0,0,0,0,0,250437,250437,0,250437,250437,0,0,16,0,7.986040401,39,337,138.3333333,172.0503802,29601.33333,0,0,0,0,0,207.5,0,188,-1,0,0,0,0,0,0,0,0,0,0
8,28335,0,2,0,537,0,0,0,0,502,35,268.5,330.2188668,18951.82636,70.58408329,28335,0,28335,28335,0,0,0,0,0,28335,28335,0,28335,28335,0,0,16,0,70.58408329,35,502,190.6666667,269.6225757,72696.33333,0,0,0,0,0,286,0,268.5,-1,0,0,0,0,0,0,0,0,0,0
9,63832,0,2,0,244,0,0,0,0,208,36,122,121.6223664,3822.534152,31.33224715,63832,0,63832,63832,0,0,0,0,0,63832,63832,0,63832,63832,0,0,16,0,31.33224715,36,208,93.33333333,99.3042463,9861.333333,0,0,0,0,0,140,0,122,-1,0,0,0,0,0,0,0,0,0,0
10,339,0,2,0,214,0,0,0,0,172,42,107,91.92388155,631268.4366,5899.705015,339,0,339,339,0,0,0,0,0,339,339,0,339,339,0,0,16,0,5899.705015,42,172,85.33333333,75.05553499,5633.333333,0,0,0,0,0,128,0,107,-1,0,0,0,0,0,0,0,0,0,0
11,15827,0,2,0,175,0,0,0,0,141,34,87.5,75.66042559,11057.0544,126.366336,15827,0,15827,15827,0,0,0,0,0,15827,15827,0,15827,15827,0,0,16,0,126.366336,34,141,69.66666667,61.7764788,3816.333333,0,0,0,0,0,104.5,0,87.5,-1,0,0,0,0,0,0,0,0,0,0
12,883659,0,2,0,194,0,0,0,0,160,34,97,89.09545443,219.541701,2.263316506,883659,0,883659,883659,0,0,0,0,0,883659,883659,0,883659,883659,0,0,16,0,2.263316506,34,160,76,72.74613392,5292,0,0,0,0,0,114,0,97,-1,0,0,0,0,0,0,0,0,0,0
13,569,0,2,0,442,0,0,0,0,409,33,221,265.8721497,776801.406,3514.938489,569,0,569,569,0,0,0,0,0,569,569,0,569,569,0,0,16,0,3514.938489,33,409,158.3333333,217.0837012,47125.33333,0,0,0,0,0,237.5,0,221,-1,0,0,0,0,0,0,0,0,0,0
14,495,0,2,0,120,0,0,0,0,85,35,60,35.35533906,242424.2424,4040.40404,495,0,495,495,0,0,0,0,0,495,495,0,495,495,0,0,16,0,4040.40404,35,85,51.66666667,28.86751346,833.3333333,0,0,0,0,0,77.5,0,60,-1,0,0,0,0,0,0,0,0,0,0
15,103869,0,2,0,403,0,0,0,0,360,43,201.5,224.1528496,3879.887166,19.25502315,103869,0,103869,103869,0,0,0,0,0,103869,103869,0,103869,103869,0,0,16,0,19.25502315,43,360,148.6666667,183.0200353,33496.33333,0,0,0,0,0,223,0,201.5,-1,0,0,0,0,0,0,0,0,0,0
16,39406,0,2,0,194,0,0,0,0,160,34,97,89.09545443,4923.108156,50.75369233,39406,0,39406,39406,0,0,0,0,0,39406,39406,0,39406,39406,0,0,16,0,50.75369233,34,160,76,72.74613392,5292,0,0,0,0,0,114,0,97,-1,0,0,0,0,0,0,0,0,0,0
17,118294,0,2,0,264,0,0,0,0,236,28,132,147.0782105,2231.727729,16.90702825,118294,0,118294,118294,0,0,0,0,0,118294,118294,0,118294,118294,0,0,16,0,16.90702825,28,236,97.33333333,120.088856,14421.33333,0,0,0,0,0,146,0,132,-1,0,0,0,0,0,0,0,0,0,0
18,20361,0,2,0,438,0,0,0,0,400,38,219,255.9726548,21511.71357,98.2270026,20361,0,20361,20361,0,0,0,0,0,20361,20361,0,20361,20361,0,0,16,0,98.2270026,38,400,158.6666667,209.0007974,43681.33333,0,0,0,0,0,238,0,219,-1,0,0,0,0,0,0,0,0,0,0
19,1114630,0,2,0,225,0,0,0,0,193,32,112.5,113.8441918,201.8607071,1.794317397,1114630,0,1114630,1114630,0,0,0,0,0,1114630,1114630,0,1114630,1114630,0,0,16,0,1.794317397,32,193,85.66666667,92.95339334,8640.333333,0,0,0,0,0,128.5,0,112.5,-1,0,0,0,0,0,0,0,0,0,0
20,11505,0,2,0,221,0,0,0,0,188,33,110.5,109.6015511,19209.03955,173.837462,11505,0,11505,11505,0,0,0,0,0,11505,11505,0,11505,11505,0,0,16,0,173.837462,33,188,84.66666667,89.48929172,8008.333333,0,0,0,0,0,127,0,110.5,-1,0,0,0,0,0,0,0,0,0,0
21,287,0,2,0,222,0,0,0,0,176,46,111,91.92388155,773519.1638,6968.641115,287,0,287,287,0,0,0,0,0,287,287,0,287,287,0,0,16,0,6968.641115,46,176,89.33333333,75.05553499,5633.333333,0,0,0,0,0,134,0,111,-1,0,0,0,0,0,0,0,0,0,0
22,43261,0,2,0,194,0,0,0,0,160,34,97,89.09545443,4484.40859,46.23101639,43261,0,43261,43261,0,0,0,0,0,43261,43261,0,43261,43261,0,0,16,0,46.23101639,34,160,76,72.74613392,5292,0,0,0,0,0,114,0,97,-1,0,0,0,0,0,0,0,0,0,0
23,617,0,2,0,504,0,0,0,0,462,42,252,296.9848481,816855.7536,3241.491086,617,0,617,617,0,0,0,0,0,617,617,0,617,617,0,0,16,0,3241.491086,42,462,182,242.4871131,58800,0,0,0,0,0,273,0,252,-1,0,0,0,0,0,0,0,0,0,0
24,361,0,2,0,218,0,0,0,0,174,44,109,91.92388155,603878.1163,5540.166205,361,0,361,361,0,0,0,0,0,361,361,0,361,361,0,0,16,0,5540.166205,44,174,87.33333333,75.05553499,5633.333333,0,0,0,0,0,131,0,109,-1,0,0,0,0,0,0,0,0,0,0
25,235310,0,2,0,481,0,0,0,0,449,32,240.5,294.8635278,2044.112022,8.499426289,235310,0,235310,235310,0,0,0,0,0,235310,235310,0,235310,235310,0,0,16,0,8.499426289,32,449,171,240.7550623,57963,0,0,0,0,0,256.5,0,240.5,-1,0,0,0,0,0,0,0,0,0,0
26,345,0,2,0,129,0,0,0,0,102,27,64.5,53.03300859,373913.0435,5797.101449,345,0,345,345,0,0,0,0,0,345,345,0,345,345,0,0,16,0,5797.101449,27,102,52,43.30127019,1875,0,0,0,0,0,78,0,64.5,-1,0,0,0,0,0,0,0,0,0,0
27,16048,0,2,0,175,0,0,0,0,141,34,87.5,75.66042559,10904.78564,124.6261216,16048,0,16048,16048,0,0,0,0,0,16048,16048,0,16048,16048,0,0,16,0,124.6261216,34,141,69.66666667,61.7764788,3816.333333,0,0,0,0,0,104.5,0,87.5,-1,0,0,0,0,0,0,0,0,0,0
28,61430,0,2,0,190,0,0,0,0,152,38,95,80.61017306,3092.951327,32.55738239,61430,0,61430,61430,0,0,0,0,0,61430,61430,0,61430,61430,0,0,16,0,32.55738239,38,152,76,65.81793069,4332,0,0,0,0,0,114,0,95,-1,0,0,0,0,0,0,0,0,0,0
29,37747,0,2,0,220,0,0,0,0,190,30,110,113.137085,5828.277744,52.98434313,37747,0,37747,37747,0,0,0,0,0,37747,37747,0,37747,37747,0,0,16,0,52.98434313,30,190,83.33333333,92.37604307,8533.333333,0,0,0,0,0,125,0,110,-1,0,0,0,0,0,0,0,0,0,0
30,53713,0,2,0,187,0,0,0,0,151,36,93.5,81.31727984,3481.466312,37.23493381,53713,0,53713,53713,0,0,0,0,0,53713,53713,0,53713,53713,0,0,16,0,37.23493381,36,151,74.33333333,66.39528096,4408.333333,0,0,0,0,0,111.5,0,93.5,-1,0,0,0,0,0,0,0,0,0,0
31,619,0,2,0,251,0,0,0,0,214,37,125.5,125.1579003,405492.7302,3231.017771,619,0,619,619,0,0,0,0,0,619,619,0,619,619,0,0,16,0,3231.017771,37,214,96,102.1909976,10443,0,0,0,0,0,144,0,125.5,-1,0,0,0,0,0,0,0,0,0,0
32,10337,0,2,0,264,0,0,0,0,229,35,132,137.1787156,25539.32476,193.479733,10337,0,10337,10337,0,0,0,0,0,10337,10337,0,10337,10337,0,0,16,0,193.479733,35,229,99.66666667,112.0059522,12545.33333,0,0,0,0,0,149.5,0,132,-1,0,0,0,0,0,0,0,0,0,0
33,20912,0,2,0,432,0,0,0,0,398,34,216,257.3868684,20657.99541,95.63886764,20912,0,20912,20912,0,0,0,0,0,20912,20912,0,20912,20912,0,0,16,0,95.63886764,34,398,155.3333333,210.155498,44165.33333,0,0,0,0,0,233,0,216,-1,0,0,0,0,0,0,0,0,0,0
34,20753,0,2,0,308,0,0,0,0,255,53,154,142.8355698,14841.22777,96.37160892,20753,0,20753,20753,0,0,0,0,0,20753,20753,0,20753,20753,0,0,16,0,96.37160892,53,255,120.3333333,116.6247544,13601.33333,0,0,0,0,0,180.5,0,154,-1,0,0,0,0,0,0,0,0,0,0
35,20810,0,2,0,432,0,0,0,0,398,34,216,257.3868684,20759.25036,96.10764056,20810,0,20810,20810,0,0,0,0,0,20810,20810,0,20810,20810,0,0,16,0,96.10764056,34,398,155.3333333,210.155498,44165.33333,0,0,0,0,0,233,0,216,-1,0,0,0,0,0,0,0,0,0,0
36,391,0,2,0,221,0,0,0,0,188,33,110.5,109.6015511,565217.3913,5115.089514,391,0,391,391,0,0,0,0,0,391,391,0,391,391,0,0,16,0,5115.089514,33,188,84.66666667,89.48929172,8008.333333,0,0,0,0,0,127,0,110.5,-1,0,0,0,0,0,0,0,0,0,0
37,108589,0,2,0,184,0,0,0,0,149,35,92,80.61017306,1694.462607,18.41807181,108589,0,108589,108589,0,0,0,0,0,108589,108589,0,108589,108589,0,0,16,0,18.41807181,35,149,73,65.81793069,4332,0,0,0,0,0,109.5,0,92,-1,0,0,0,0,0,0,0,0,0,0
38,71396,0,2,0,157,0,0,0,0,124,33,78.5,64.34671709,2199.002745,28.01277382,71396,0,71396,71396,0,0,0,0,0,71396,71396,0,71396,71396,0,0,16,0,28.01277382,33,124,63.33333333,52.5388745,2760.333333,0,0,0,0,0,95,0,78.5,-1,0,0,0,0,0,0,0,0,0,0
39,663,0,2,0,225,0,0,0,0,192,33,112.5,112.4299782,339366.5158,3016.591252,663,0,663,663,0,0,0,0,0,663,663,0,663,663,0,0,16,0,3016.591252,33,192,86,91.7986928,8427,0,0,0,0,0,129,0,112.5,-1,0,0,0,0,0,0,0,0,0,0
40,166585,0,2,0,156,0,0,0,0,127,29,78,69.29646456,936.4588648,12.00588288,166585,0,166585,166585,0,0,0,0,0,166585,166585,0,166585,166585,0,0,16,0,12.00588288,29,127,61.66666667,56.58032638,3201.333333,0,0,0,0,0,92.5,0,78,-1,0,0,0,0,0,0,0,0,0,0
41,40141,0,2,0,194,0,0,0,0,160,34,97,89.09545443,4832.963803,49.8243691,40141,0,40141,40141,0,0,0,0,0,40141,40141,0,40141,40141,0,0,16,0,49.8243691,34,160,76,72.74613392,5292,0,0,0,0,0,114,0,97,-1,0,0,0,0,0,0,0,0,0,0
42,1296,0,2,0,255,0,0,0,0,220,35,127.5,130.8147545,196759.2593,1543.209877,1296,0,1296,1296,0,0,0,0,0,1296,1296,0,1296,1296,0,0,16,0,1543.209877,35,220,96.66666667,106.8097998,11408.33333,0,0,0,0,0,145,0,127.5,-1,0,0,0,0,0,0,0,0,0,0
43,15964,0,2,0,175,0,0,0,0,141,34,87.5,75.66042559,10962.16487,125.2818842,15964,0,15964,15964,0,0,0,0,0,15964,15964,0,15964,15964,0,0,16,0,125.2818842,34,141,69.66666667,61.7764788,3816.333333,0,0,0,0,0,104.5,0,87.5,-1,0,0,0,0,0,0,0,0,0,0
44,428432,0,2,0,209,0,0,0,0,176,33,104.5,101.1162697,487.8253725,4.668185383,428432,0,428432,428432,0,0,0,0,0,428432,428432,0,428432,428432,0,0,16,0,4.668185383,33,176,80.66666667,82.56108849,6816.333333,0,0,0,0,0,121,0,104.5,-1,0,0,0,0,0,0,0,0,0,0
45,751,0,2,0,442,0,0,0,0,409,33,221,265.8721497,588548.6019,2663.115846,751,0,751,751,0,0,0,0,0,751,751,0,751,751,0,0,16,0,2663.115846,33,409,158.3333333,217.0837012,47125.33333,0,0,0,0,0,237.5,0,221,-1,0,0,0,0,0,0,0,0,0,0
46,20107,0,2,0,303,0,0,0,0,254,49,151.5,144.9568901,15069.37882,99.46784702,20107,0,20107,20107,0,0,0,0,0,20107,20107,0,20107,20107,0,0,16,0,99.46784702,49,254,117.3333333,118.3568052,14008.33333,0,0,0,0,0,176,0,151.5,-1,0,0,0,0,0,0,0,0,0,0
47,2877,0,2,0,548,0,0,0,0,502,46,274,322.4406922,190476.1905,695.1685784,2877,0,2877,2877,0,0,0,0,0,2877,2877,0,2877,2877,0,0,16,0,695.1685784,46,502,198,263.2717228,69312,0,0,0,0,0,297,0,274,-1,0,0,0,0,0,0,0,0,0,0
48,20274,0,2,0,474,0,0,0,0,437,37,237,282.8427125,23379.69814,98.64851534,20274,0,20274,20274,0,0,0,0,0,20274,20274,0,20274,20274,0,0,16,0,98.64851534,37,437,170.3333333,230.9401077,53333.33333,0,0,0,0,0,255.5,0,237,-1,0,0,0,0,0,0,0,0,0,0
49,20408,0,2,0,436,0,0,0,0,399,37,218,255.9726548,21364.17091,98.00078401,20408,0,20408,20408,0,0,0,0,0,20408,20408,0,20408,20408,0,0,16,0,98.00078401,37,399,157.6666667,209.0007974,43681.33333,0,0,0,0,0,236.5,0,218,-1,0,0,0,0,0,0,0,0,0,0
50,454,0,2,0,120,0,0,0,0,85,35,60,35.35533906,264317.1806,4405.286344,454,0,454,454,0,0,0,0,0,454,454,0,454,454,0,0,16,0,4405.286344,35,85,51.66666667,28.86751346,833.3333333,0,0,0,0,0,77.5,0,60,-1,0,0,0,0,0,0,0,0,0,0
51,589,0,2,0,473,0,0,0,0,435,38,236.5,280.7213921,803056.0272,3395.585739,589,0,589,589,0,0,0,0,0,589,589,0,589,589,0,0,16,0,3395.585739,38,435,170.3333333,229.2080569,52536.33333,0,0,0,0,0,255.5,0,236.5,-1,0,0,0,0,0,0,0,0,0,0
52,44305,0,2,0,194,0,0,0,0,160,34,97,89.09545443,4378.738291,45.14163187,44305,0,44305,44305,0,0,0,0,0,44305,44305,0,44305,44305,0,0,16,0,45.14163187,34,160,76,72.74613392,5292,0,0,0,0,0,114,0,97,-1,0,0,0,0,0,0,0,0,0,0
53,143491,0,2,0,192,0,0,0,0,163,29,96,94.75230868,1338.063014,13.9381564,143491,0,143491,143491,0,0,0,0,0,143491,143491,0,143491,143491,0,0,16,0,13.9381564,29,163,73.66666667,77.36493607,5985.333333,0,0,0,0,0,110.5,0,96,-1,0,0,0,0,0,0,0,0,0,0
54,1947,0,2,0,424,0,0,0,0,393,31,212,255.9726548,217770.9296,1027.221366,1947,0,1947,1947,0,0,0,0,0,1947,1947,0,1947,1947,0,0,16,0,1027.221366,31,393,151.6666667,209.0007974,43681.33333,0,0,0,0,0,227.5,0,212,-1,0,0,0,0,0,0,0,0,0,0
55,99811,0,2,0,159,0,0,0,0,130,29,79.5,71.4177849,1593.01079,20.03787158,99811,0,99811,99811,0,0,0,0,0,99811,99811,0,99811,99811,0,0,16,0,20.03787158,29,130,62.66666667,58.31237719,3400.333333,0,0,0,0,0,94,0,79.5,-1,0,0,0,0,0,0,0,0,0,0
56,104530,0,2,0,212,0,0,0,0,171,41,106,91.92388155,2028.125897,19.13326318,104530,0,104530,104530,0,0,0,0,0,104530,104530,0,104530,104530,0,0,16,0,19.13326318,41,171,84.33333333,75.05553499,5633.333333,0,0,0,0,0,126.5,0,106,-1,0,0,0,0,0,0,0,0,0,0
57,620,0,2,0,280,0,0,0,0,238,42,140,138.5929291,451612.9032,3225.806452,620,0,620,620,0,0,0,0,0,620,620,0,620,620,0,0,16,0,3225.806452,42,238,107.3333333,113.1606528,12805.33333,0,0,0,0,0,161,0,140,-1,0,0,0,0,0,0,0,0,0,0
58,10224,0,2,0,442,0,0,0,0,409,33,221,265.8721497,43231.61189,195.6181534,10224,0,10224,10224,0,0,0,0,0,10224,10224,0,10224,10224,0,0,16,0,195.6181534,33,409,158.3333333,217.0837012,47125.33333,0,0,0,0,0,237.5,0,221,-1,0,0,0,0,0,0,0,0,0,0
